,domain,nb_item,nb_item_search,nb_item_bought,413163,
229,MLM-DOG_MUZZLES,16,18,0,413163,100%
230,MLM-AUTOMOTIVE_TRUNK_CARGO_COVER_SHIELDS,3,4,0,413163,100%
235,MLM-APARTMENTS_FOR_RENT,354,376,0,413163,100%
236,MLM-SEX_DOLLS,137,280,0,413163,100%
237,MLM-CHAIR_COVERS,21,15,0,413163,100%
244,MLM-EMBEDDED_SWITCH_MODE_POWER_SUPPLIES,11,19,0,413163,100%
245,MLM-ENERGY_DRINKS,29,34,0,413163,100%
250,MLM-ELECTROLYTIC_CAPACITORS,11,6,0,413163,100%
252,MLM-BICYCLE_CASSETTES,16,11,0,413163,100%
253,MLM-POUFS,53,102,0,413163,100%
255,MLM-GUN_CLEANING_KITS,28,34,0,413163,100%
261,MLM-INDIVIDUAL_APARTMENTS_FOR_SALE,186,207,0,413163,100%
268,MLM-SQUEEZERS,3,7,0,413163,100%
269,MLM-VIDEO_GAME_GUITARS,31,31,0,413163,100%
279,MLM-MODEL_AIRCRAFT_PLANES,75,79,0,413163,100%
280,MLM-BEDDING_SETS,10,8,0,413163,100%
297,MLM-HOUSES_FOR_RENT,227,263,0,413163,100%
303,MLM-RETRO_EXCAVATORS,16,13,0,413163,100%
304,MLM-IRRIGATION_VALVES,16,17,0,413163,100%
308,MLM-BATHROOM_SUPPLIES,397,547,0,413163,100%
316,MLM-AUTOMOBILE_FUEL_PUMPS,146,164,0,413163,100%
323,MLM-DJ_TURNTABLES,31,16,0,413163,100%
324,MLM-LASER_CUTTING_AND_ENGRAVING_MACHINES,27,46,0,413163,100%
325,MLM-SCISSORS,17,13,0,413163,100%
332,MLM-EGR_VALVES,23,26,0,413163,100%
334,MLM-AIRGUN_PELLETS,139,262,0,413163,100%
341,MLM-SNAP_OFF_UTILITY_KNIVES,35,42,0,413163,100%
342,MLM-PAINTBALL_MARKERS,87,135,0,413163,100%
343,MLM-QUILTS_AND_COVERLETS,173,257,0,413163,100%
344,MLM-LENS_FILTERS,30,29,0,413163,100%
349,MLM-FOOTBALL_CAPS,173,217,0,413163,100%
350,MLM-CYCLING_JERSEYS,121,174,0,413163,100%
357,MLM-ORTHOPEDIC_ANKLE_BRACES,44,61,0,413163,100%
359,MLM-CLEANING_CLOTHS,51,61,0,413163,100%
365,MLM-ELECTRIC_LUNCHBOXES,5,5,0,413163,100%
368,MLM-GATE_MOTORS,47,56,0,413163,100%
380,MLM-ROOSTERS_AND_HENS,81,62,0,413163,100%
381,MLM-AUTOMOTIVE_NERF_BARS,172,237,0,413163,100%
384,MLM-CANDLE_HOLDERS,10,18,0,413163,100%
387,MLM-AUTOMOTIVE_OIL_PUMPS,62,72,0,413163,100%
389,MLM-TABLEWARE_SETS,81,127,0,413163,100%
391,MLM-DOLLHOUSE_FURNITURE_AND_APPLIANCES,12,14,0,413163,100%
403,MLM-JEWELRY_DISPLAYS,60,59,0,413163,100%
405,MLM-COLLECTIBLE_MILITARY_JACKETS,36,53,0,413163,100%
417,MLM-PRESSURE_GAUGES,39,53,0,413163,100%
423,MLM-SPORT_BRAS,51,67,0,413163,100%
428,MLM-ROTISSERIE_OVENS,17,18,0,413163,100%
429,MLM-STARTERS,119,140,0,413163,100%
430,MLM-KANGOO_JUMPS,7,10,0,413163,100%
433,MLM-EDUCATIONAL_SOFTWARE,18,30,0,413163,100%
434,MLM-SHAVING_CREAMS,8,2,0,413163,100%
437,MLM-HAIR_DYES_COLORANTS_DECOLORANTS,162,200,0,413163,100%
441,MLM-CAMPING_STOVES,55,33,0,413163,100%
442,MLM-CHRISTMAS_TREE_ORNAMENTS,205,284,0,413163,100%
446,MLM-STAIRS_AND_BALCONIES_RAILS,17,15,0,413163,100%
450,MLM-ABDOMINAL_TONING_BELTS,17,35,0,413163,100%
452,MLM-CEREAL_DISPENSERS,9,3,0,413163,100%
453,MLM-INDUSTRIAL_ICE_CREAM_MACHINES,46,82,0,413163,100%
455,MLM-SCULPTURES,66,55,0,413163,100%
460,MLM-ANIMALS_AND_PETS,55,92,0,413163,100%
463,MLM-WATER_RADIATORS,133,155,0,413163,100%
464,MLM-AUTOMOTIVE_ENGINE_VALVE_COVERS,28,30,0,413163,100%
469,MLM-AUTOMOTIVE_SHOCK_ABSORBERS,481,500,0,413163,100%
471,MLM-AUTOMOTIVE_CANISTER_PURGE_VALVES,7,4,0,413163,100%
473,MLM-CAT_TOYS,48,75,0,413163,100%
475,MLM-POWER_INVERTERS,65,71,0,413163,100%
476,MLM-COTTON_CANDY_MACHINES,21,66,0,413163,100%
477,MLM-GAME_CONSOLE_COOLERS,39,55,0,413163,100%
485,MLM-ALTERNATORS,62,54,0,413163,100%
486,MLM-SHELF_UNITS,41,79,0,413163,100%
487,MLM-BOX_SPRING_BASES,155,279,0,413163,100%
494,MLM-AUTOMOTIVE_CRASH_GUARDS,95,103,0,413163,100%
497,MLM-VIDEO_GAME_CONTROLLER_COVERS,51,94,0,413163,100%
500,MLM-CELLPHONE_BATTERY_CASES,68,114,0,413163,100%
501,MLM-WASHING_MACHINE_GEARBOXES,17,16,0,413163,100%
502,MLM-MANUAL_LAWN_MOWERS,30,37,0,413163,100%
504,MLM-INDIVIDUAL_LANDS_FOR_SALE,133,159,0,413163,100%
506,MLM-AUTOMOTIVE_SKIRTS,242,282,0,413163,100%
507,MLM-CANNED_AND_PRESERVED_FOOD,41,44,0,413163,100%
513,MLM-AUTOMOTIVE_TIMING_BELT_TENSIONER_PULLEYS,21,21,0,413163,100%
514,MLM-STRING_INSTRUMENT_BRIDGES,11,7,0,413163,100%
517,MLM-TACTICAL_SLINGS,43,67,0,413163,100%
520,MLM-MASSAGE_STONES,3,5,0,413163,100%
521,MLM-AUTOMOTIVE_PAINTS,28,42,0,413163,100%
523,MLM-BABY_MOBILES,36,75,0,413163,100%
525,MLM-SALON_FURNITURE,68,124,0,413163,100%
528,MLM-SPORT_AND_BAZAAR_BOTTLES,66,114,0,413163,100%
529,MLM-TABLECLOTHS,40,49,0,413163,100%
531,MLM-BOOKMARKS,24,34,0,413163,100%
532,MLM-AUTOMOTIVE_CLUTCH_KITS,112,130,0,413163,100%
534,MLM-BEDS,323,465,0,413163,100%
535,MLM-ULTRABOOKS,11,11,0,413163,100%
540,MLM-AUTOMOTIVE_ENGINE_FANS,70,81,0,413163,100%
541,MLM-WRENCHES,100,112,0,413163,100%
542,MLM-FIRST_AID_KITS,17,23,0,413163,100%
544,MLM-CLIMBING_HOLDS,4,1,0,413163,100%
546,MLM-RODENT_DRINKERS_AND_FEEDERS,9,11,0,413163,100%
549,MLM-OPTICAL_INSTRUMENTS,4,7,0,413163,100%
551,MLM-CNC_ROUTERS,24,44,0,413163,100%
555,MLM-SODIUM_BICARBONATE,9,3,0,413163,100%
566,MLM-AUTOMOTIVE_ENGINES,111,158,0,413163,100%
567,MLM-SHIN_GUARDS,65,101,0,413163,100%
568,MLM-DOG_AND_CAT_SHAMPOOS_AND_CONDITIONERS,22,17,0,413163,100%
569,MLM-COGNACS,10,23,0,413163,100%
572,MLM-MILK,13,10,0,413163,100%
575,MLM-SEX_TOYS_AND_SUPPLIES,105,129,0,413163,100%
579,MLM-ARTISTIC_ACRYLIC_PAINTS,56,104,0,413163,100%
581,MLM-CAR_AC_DASHBOARD_VENTS,40,66,0,413163,100%
587,MLM-AUTOMOTIVE_WATER_PUMPS,101,94,0,413163,100%
588,MLM-AUTOMOTIVE_ENGINE_MOUNTS,118,117,0,413163,100%
591,MLM-FABRICS,55,61,0,413163,100%
593,MLM-PASTRY_BRUSHES,6,11,0,413163,100%
594,MLM-HUNTING_NETS,22,19,0,413163,100%
596,MLM-DOLLHOUSES,77,75,0,413163,100%
601,MLM-BICYCLE_GROUPSETS,24,27,0,413163,100%
602,MLM-GUN_GRIPS,13,17,0,413163,100%
604,MLM-BASEBALL_AND_SOFTBALL_BATS,151,207,0,413163,100%
607,MLM-DOORS,71,90,0,413163,100%
611,MLM-SAFETY_HELMETS,58,94,0,413163,100%
614,MLM-BUSES,90,106,0,413163,100%
616,MLM-DISPLAY_STRIPS,4,11,0,413163,100%
618,MLM-AUTOMOTIVE_TURBOCHARGERS,49,49,0,413163,100%
621,MLM-FISHING_SPEARGUNS,9,18,0,413163,100%
627,MLM-BLUSHES,29,27,0,413163,100%
628,MLM-HORSE_SPURS,34,47,0,413163,100%
629,MLM-INFLATABLE_BOUNCE_HOUSES,101,190,0,413163,100%
630,MLM-WOMEN_SPORT_SWIMWEAR,46,55,0,413163,100%
633,MLM-MERCHANDISER_REFRIGERATORS,118,176,0,413163,100%
634,MLM-CARDS_AND_INVITATIONS,203,244,0,413163,100%
635,MLM-HEADPIECES_TIARAS_AND_HEADBANDS,195,245,0,413163,100%
636,MLM-AUTOMOTIVE_IGNITION_KEYS,101,94,0,413163,100%
637,,851,1208,0,413163,100%
638,MLM-AIRBAGS,57,48,0,413163,100%
639,MLM-MANUAL_AIR_PUMPS,61,99,0,413163,100%
640,MLM-MOTORCYCLE_CHEST_PROTECTORS,37,61,0,413163,100%
647,MLM-HAIR_ROLLERS,4,9,0,413163,100%
651,MLM-HANDICRAFT_BOXES,161,196,0,413163,100%
652,MLM-ANTIQUE_KNIVES,70,85,0,413163,100%
654,MLM-ELECTRIC_SAWS,43,68,0,413163,100%
655,MLM-BASS_GUITARS,160,140,0,413163,100%
656,MLM-AUTOMOTIVE_DASHBOARDS,92,84,0,413163,100%
657,MLM-BRIEFCASES,120,219,0,413163,100%
658,MLM-ACUPUNCTURE_NEEDLES,14,12,0,413163,100%
661,MLM-SWAY_BAR_LINKS,69,78,0,413163,100%
664,MLM-DIGITAL_CENTRIFUGE_MACHINES,11,12,0,413163,100%
666,MLM-PEDALBOARDS,27,46,0,413163,100%
667,MLM-RACKS_AND_PINIONS,127,110,0,413163,100%
668,MLM-AUTOMOTIVE_AC_COMPRESSORS,81,53,0,413163,100%
669,MLM-BUMPER_IMPACT_ABSORBERS,61,51,0,413163,100%
676,MLM-ENGINE_CRANKSHAFT_PULLEYS,22,17,0,413163,100%
681,MLM-STORAGE_DRAWERS,142,204,0,413163,100%
683,MLM-CAMERA_BATTERIES,47,52,0,413163,100%
689,MLM-BIRD_TOYS,26,29,0,413163,100%
691,MLM-CAR_GLOVE_BOX_DOORS,28,28,0,413163,100%
692,MLM-PRINTER_MOTHERBOARDS,14,24,0,413163,100%
693,MLM-SWAY_BARS,29,19,0,413163,100%
698,MLM-FUEL_LEVEL_FLOATS,60,40,0,413163,100%
703,MLM-BABY_PACIFIERS,63,90,0,413163,100%
704,MLM-GARDEN_CHAIRS,81,160,0,413163,100%
706,MLM-BOOKS_MAGAZINES_AND_COMICS,70,88,0,413163,100%
710,MLM-CAR_SCREENS,81,120,0,413163,100%
713,MLM-HORSE_SADDLES,51,36,0,413163,100%
714,MLM-SCREWS,104,143,0,413163,100%
715,MLM-VINYL_FLOORINGS,62,99,0,413163,100%
716,MLM-DOOR_AND_WINDOW_LOCKS,112,114,0,413163,100%
718,MLM-VEHICLE_FUEL_FILTERS,33,28,0,413163,100%
719,MLM-UNIVERSAL_CAR_REMOTES,22,32,0,413163,100%
720,MLM-BICYCLE_DISC_BRAKE_CALIPERS,11,26,0,413163,100%
721,MLM-POCKET_WATCHES,46,49,0,413163,100%
723,MLM-SAFETY_GLOVES,94,125,0,413163,100%
724,MLM-NETBOOKS,16,8,0,413163,100%
727,MLM-HEADBOARDS,59,79,0,413163,100%
737,MLM-EROTIC_BALLS,14,17,0,413163,100%
740,MLM-HUMAN_SKELETON_ANATOMICAL_MODELS,8,5,0,413163,100%
741,MLM-SOLAR_PANELS,121,257,0,413163,100%
742,MLM-KATANA_SWORDS,124,251,0,413163,100%
744,MLM-BICYCLE_FRONT_DERAILLEURS,22,28,0,413163,100%
746,MLM-BICYCLE_HANDLEBAR_GRIPS,19,31,0,413163,100%
747,MLM-WETSUITS,36,52,0,413163,100%
749,MLM-ELECTRIC_JUGS,20,26,0,413163,100%
750,MLM-TOILETS,38,59,0,413163,100%
751,MLM-NEGATOSCOPES,10,4,0,413163,100%
752,MLM-HAIR_REMOVAL_SPRINGS,2,3,0,413163,100%
753,MLM-TOY_CASH_REGISTERS,16,12,0,413163,100%
755,MLM-BABIES_FORMULA,43,52,0,413163,100%
756,MLM-MOTORCYCLE_SADDLEBAGS,96,138,0,413163,100%
757,MLM-DIFFERENTIALS,13,16,0,413163,100%
759,MLM-BUCKETS_AND_BASINS,19,23,0,413163,100%
764,MLM-KARTS,2,5,0,413163,100%
765,MLM-DRINK_PITCHERS,34,36,0,413163,100%
770,MLM-DISTRIBUTION_KITS,124,124,0,413163,100%
771,MLM-DRAFTING_KITS,6,13,0,413163,100%
775,MLM-HABERDASHERY_RIBBONS,31,29,0,413163,100%
776,MLM-CD_AND_DVD_PLAYERS,52,55,0,413163,100%
777,MLM-ELECTRIC_UNICYCLES,2,2,0,413163,100%
779,MLM-LIQUORS,26,42,0,413163,100%
781,MLM-CHRISTMAS_WREATHS,37,36,0,413163,100%
785,MLM-MOTORCYCLE_MUFFLERS,105,180,0,413163,100%
786,MLM-CURTAIN_RODS,64,64,0,413163,100%
789,MLM-CLARINETS,7,3,0,413163,100%
790,MLM-TV_SERIES,85,131,0,413163,100%
792,MLM-SHOCK_MOUNT_INSOLATORS,105,117,0,413163,100%
793,MLM-MEASURING_SPOONS,23,55,0,413163,100%
804,MLM-SCREEN_PRINTING_INKS,22,39,0,413163,100%
805,MLM-AIR_CONDITIONER_CONTROL_BOARDS,23,26,0,413163,100%
806,MLM-AUTOMOTIVE_DASHBOARD_COVERS,104,155,0,413163,100%
809,MLM-AUTOMOTIVE_SPRING_SUSPENSIONS,51,74,0,413163,100%
811,MLM-WEDDING_BANDS,74,118,0,413163,100%
812,MLM-STEERING_COLUMNS,29,10,0,413163,100%
815,MLM-BICYCLE_V_BRAKE_CALIPERS,3,3,0,413163,100%
816,MLM-CHAFING_DISHES,26,41,0,413163,100%
820,MLM-WALKIE_TALKIE_BATTERIES,1,1,0,413163,100%
822,MLM-VEHICLE_SCRATCH_REMOVERS,14,22,0,413163,100%
825,MLM-BED_AND_CRIB_SAFETY_RAILS,13,42,0,413163,100%
830,MLM-DRILL_ADAPTERS,48,76,0,413163,100%
831,MLM-RUM,27,30,0,413163,100%
832,MLM-KEY_DUPLICATING_MACHINES,11,23,0,413163,100%
833,MLM-AUTOMOTIVE_BRIGHTENERS,73,119,0,413163,100%
834,MLM-TANK_STANDS,20,19,0,413163,100%
835,MLM-BONGS,114,187,0,413163,100%
836,MLM-GAS_CYLINDERS,43,53,0,413163,100%
837,MLM-RESISTORS,42,69,0,413163,100%
838,MLM-VEILS,11,20,0,413163,100%
839,MLM-AUTOMOTIVE_STEERING_WHEELS,163,199,0,413163,100%
840,MLM-HARMONICAS,22,26,0,413163,100%
842,MLM-RECEPTION_DESKS,23,23,0,413163,100%
845,MLM-FENCE_CHARGERS,4,7,0,413163,100%
846,MLM-DINING_SETS,258,333,0,413163,100%
847,MLM-LASER_PRINTER_DRUMS,39,58,0,413163,100%
849,MLM-FILE_BOXES,11,57,0,413163,100%
851,MLM-GUN_AMMUNITION_MAGAZINES,39,77,0,413163,100%
852,MLM-BABY_CRIBS_AND_BASSINETS,25,30,0,413163,100%
854,MLM-CONSTRUCTION_FINISHING_TROWELS,11,21,0,413163,100%
858,MLM-OTHER_VEHICLES,74,87,0,413163,100%
860,MLM-COLANDERS,18,25,0,413163,100%
861,MLM-EROTIC_LINGERIE_SETS,2,0,0,413163,100%
862,MLM-BOOKCASES,98,186,0,413163,100%
866,MLM-POWERED_RIDE_ON_TOYS,212,350,0,413163,100%
872,MLM-ROLLING_SHOPPING_CARTS,36,48,0,413163,100%
879,MLM-INSTANT_COFFEE,38,61,0,413163,100%
880,MLM-WIRE_STRIPPERS,19,13,0,413163,100%
885,MLM-GARDEN_STONES,20,22,0,413163,100%
886,MLM-TRACTORS,31,45,0,413163,100%
887,MLM-ROOF_PANELS,113,131,0,413163,100%
889,MLM-READY_TO_DRINK_COCKTAILS,24,52,0,413163,100%
896,MLM-TOY_VEHICLE_BATTERY_CHARGERS,6,9,0,413163,100%
897,MLM-TABLE_CLOCKS,38,28,0,413163,100%
899,MLM-AUTOMOTIVE_SIDE_VIEW_MIRROR_GLASSES,30,20,0,413163,100%
900,MLM-SUTURE_THREADS,12,10,0,413163,100%
902,MLM-AUTOMOTIVE_EQUALIZERS,44,42,0,413163,100%
907,MLM-PENIS_RINGS,62,98,0,413163,100%
910,MLM-BOOMBOXES,17,12,0,413163,100%
911,MLM-DIGITAL_TEMPERATURE_CONTROLLERS,15,13,0,413163,100%
912,MLM-AUTOMOTIVE_FOG_LIGHT_GRILLS,104,141,0,413163,100%
916,MLM-FOOD_PROCESSORS,45,82,0,413163,100%
918,MLM-FOOTBALL_JACKETS,93,145,0,413163,100%
919,MLM-POLYCARBONATE_SHEETS,22,34,0,413163,100%
922,MLM-ROOMS_FOR_RENT,24,28,0,413163,100%
923,MLM-PLIER_SETS,6,6,0,413163,100%
925,MLM-INFLATABLE_POOLS,51,66,0,413163,100%
926,MLM-SEWING_THREADS,41,47,0,413163,100%
930,MLM-HOSPITAL_BEDS,35,60,0,413163,100%
931,MLM-CRIB_BEDDING_SETS,12,12,0,413163,100%
933,MLM-AUTOMOBILE_FENDER_LINERS,82,123,0,413163,100%
934,MLM-CELLPHONE_REPLACEMENT_CAMERAS,19,9,0,413163,100%
935,MLM-PET_COSTUMES,141,254,0,413163,100%
936,MLM-DECORATIVE_PERFUME_BOTTLES,10,8,0,413163,100%
937,MLM-TRANSISTORS,55,59,0,413163,100%
938,MLM-RACQUETS,43,59,0,413163,100%
941,MLM-AUTOMOTIVE_IGNITION_COILS,122,113,0,413163,100%
943,MLM-LIQUID_HAND_AND_BODY_SOAPS,20,30,0,413163,100%
944,MLM-SPARK_PLUGS,158,172,0,413163,100%
949,MLM-TOOL_MILLS,29,21,0,413163,100%
951,MLM-AUTOMOTIVE_FRONT_BUMPERS,215,234,0,413163,100%
954,MLM-PAIN_RELIEF_MEDICINES,9,12,0,413163,100%
955,MLM-COFFEE_TABLES,45,58,0,413163,100%
957,MLM-AIRBRUSHES,43,51,0,413163,100%
958,MLM-TIRE_INNER_TUBES,25,36,0,413163,100%
959,MLM-COFFEE_CREAMERS,9,11,0,413163,100%
961,MLM-INDUSTRIAL_PULLEYS,28,27,0,413163,100%
965,MLM-GROUND_AND_WHOLE_BEANS_COFFEE,47,65,0,413163,100%
967,MLM-STIMULATING_PILLS_AND_CAPSULES,24,37,0,413163,100%
968,MLM-BEDDING,29,33,0,413163,100%
978,MLM-BOOMERANGS,2,2,0,413163,100%
980,MLM-KITCHEN_SHOVELS_AND_SPATULAS,31,63,0,413163,100%
983,MLM-GARDEN_BENCHES,30,27,0,413163,100%
984,MLM-AUTOMOTIVE_PARKING_BRAKE_LEVER_BOOTS,11,9,0,413163,100%
985,MLM-CATS,137,186,0,413163,100%
986,MLM-ANGLE_CLAMPS,9,20,0,413163,100%
987,MLM-HAMMOCKS,71,96,0,413163,100%
989,MLM-ENGINE_VALVE_COVER_GASKET_SETS,41,43,0,413163,100%
990,MLM-CAR_HOODS,41,29,0,413163,100%
993,MLM-AUTOMOTIVE_SHOCK_ABSORBER_KITS,67,98,0,413163,100%
995,MLM-VEHICLE_SHAMPOOS,17,19,0,413163,100%
997,MLM-ELECTRICAL_OUTLETS,65,65,0,413163,100%
998,MLM-WINDSHIELD_WIPERS,141,181,0,413163,100%
999,MLM-CAR_FRONT_MASKS,147,146,0,413163,100%
1000,MLM-MARTIAL_ARTS_UNIFORMS,85,147,0,413163,100%
1002,MLM-FOOTBALL_EQUIPMENT_AND_ACCESSORIES,51,61,0,413163,100%
1003,MLM-AUTOMOTIVE_COMPRESSION_DRIVERS,15,30,0,413163,100%
1004,MLM-CERAMIC_BIDETS,13,35,0,413163,100%
1005,MLM-COMBS,32,39,0,413163,100%
1006,MLM-ELECTRIC_DEMOLITION_HAMMERS,48,72,0,413163,100%
1009,MLM-MOTORCYCLE_GASOLINE_TANKS,23,25,0,413163,100%
1012,MLM-HOUSEHOLD_CLEANING_WAXES,3,4,0,413163,100%
1013,MLM-SCHOOL_UNIFORMS,22,29,0,413163,100%
1016,MLM-DISHES_PLATES,76,81,0,413163,100%
1018,MLM-AIR_PURIFIERS,21,24,0,413163,100%
1020,MLM-POPCORN,6,6,0,413163,100%
1021,MLM-COLLECTIBLE_BILLS,73,81,0,413163,100%
1024,MLM-DRUMSTICKS_MALLETS_AND_BRUSHES,52,61,0,413163,100%
1025,MLM-AIRTIGHT_BAGS,12,13,0,413163,100%
1026,MLM-FORKLIFTS,29,33,0,413163,100%
1027,MLM-PEPPER_SPRAYS,34,43,0,413163,100%
1028,MLM-CAMPING_COTS,28,58,0,413163,100%
1029,MLM-FISHING_TACKLE_BOXES,12,8,0,413163,100%
1031,MLM-MOTORCYCLE_ALTERNATOR_STATORS,11,10,0,413163,100%
1034,MLM-PREAMPLIFIERS,12,19,0,413163,100%
1037,MLM-SIM_CARD_ADAPTERS,22,53,0,413163,100%
1038,MLM-HUMIDORS,53,80,0,413163,100%
1039,MLM-LADLES,14,36,0,413163,100%
1040,MLM-AUTOMOTIVE_SUN_SHADES,79,202,0,413163,100%
1042,MLM-DRAIN_GRATES,19,17,0,413163,100%
1043,MLM-MOTORCYCLE_LEVERS,37,43,0,413163,100%
1044,MLM-MANICURE_TABLES,58,90,0,413163,100%
1046,MLM-DISPOSABLE_PARTY_KITS,65,98,0,413163,100%
1047,MLM-PET_DRESSES,58,81,0,413163,100%
1048,MLM-AUTOMOTIVE_EXHAUST_TIPS,37,47,0,413163,100%
1050,MLM-STEP_PLATFORMS,20,28,0,413163,100%
1051,MLM-TABLET_STANDS_AND_MOUNTS,26,48,0,413163,100%
1052,MLM-SELF_ADHESIVE_LABELS,65,78,0,413163,100%
1053,MLM-WHEELS_BEARINGS,96,110,0,413163,100%
1058,MLM-HAIR_TIES,27,57,0,413163,100%
1060,MLM-BEDROOM_SETS,64,103,0,413163,100%
1061,MLM-STORAGE_DRUMS,20,14,0,413163,100%
1062,MLM-E_READERS,29,38,0,413163,100%
1063,MLM-DECORATIVE_TILES_AND_MOSAICS,16,22,0,413163,100%
1068,MLM-MOTORCYCLE_SHOCK_ABSORBERS,42,51,0,413163,100%
1070,MLM-CYMBALS,65,69,0,413163,100%
1071,MLM-KERCHIEFS_AND_PASHMINAS,63,100,0,413163,100%
1075,MLM-BATHROOM_SINKS,87,153,0,413163,100%
1076,MLM-NAIL_DUST_COLLECTORS,8,20,0,413163,100%
1080,MLM-STRING_TRIMMERS,7,14,0,413163,100%
1082,MLM-AUTOMOTIVE_ENGINE_COOLANT_THERMOSTAT_HOUSINGS,6,8,0,413163,100%
1083,MLM-AUTOMOTIVE_SEATS,55,80,0,413163,100%
1084,MLM-INCENSE_HOLDERS,2,2,0,413163,100%
1085,MLM-VEHICLE_BRAKE_DISCS,73,67,0,413163,100%
1088,MLM-MEMORY_CARD_CASES_AND_BAGS,7,17,0,413163,100%
1090,MLM-CAR_AC_HOSE_ASSEMBLIES,76,74,0,413163,100%
1091,MLM-BABY_CORNER_GUARDS,25,38,0,413163,100%
1094,MLM-SCAFFOLDS,9,22,0,413163,100%
1095,MLM-AUTOMOTIVE_FUEL_TANK_DOORS,40,40,0,413163,100%
1098,MLM-AV_RECEIVERS,57,46,0,413163,100%
1100,MLM-RABBITS,24,46,0,413163,100%
1101,MLM-MOTORCYCLE_BLOCK_CYLINDERS,40,37,0,413163,100%
1103,MLM-MAKEUP_PRIMERS,54,44,0,413163,100%
1104,MLM-HAND_FANS,88,180,0,413163,100%
1105,MLM-MINERAL_WATERS,15,11,0,413163,100%
1107,MLM-ANTIQUE_TELEPHONES,14,17,0,413163,100%
1109,MLM-SINGING_BOWLS,9,33,0,413163,100%
1110,MLM-CAR_AC_EVAPORATOR_CORES,15,26,0,413163,100%
1112,MLM-MANUAL_PAD_PRINTING_MACHINES,5,10,0,413163,100%
1113,MLM-MAGAZINES,52,40,0,413163,100%
1115,MLM-PAINTBALL_SMOKE_GRENADES,10,12,0,413163,100%
1116,MLM-VACUUM_CLEANER_BAGS,4,10,0,413163,100%
1119,MLM-JEWELRY_DISPLAYS_AND_BOXES,12,19,0,413163,100%
1120,MLM-FLOOR_DEODORIZERS,8,11,0,413163,100%
1122,MLM-POWDER_AND_GRAIN_DOSING_MACHINES,2,1,0,413163,100%
1123,MLM-DEVELOPMENT_HOUSES_FOR_SALE,33,34,0,413163,100%
1124,MLM-HELIUM_TANKS,19,19,0,413163,100%
1127,MLM-MARTIAL_ARTS_AND_BOXING_SHOES,29,52,0,413163,100%
1128,MLM-SUSPENSION_CONTROL_ARM_BUSHINGS,118,137,0,413163,100%
1130,MLM-CATS_AND_DOGS_TREATS,14,15,0,413163,100%
1131,MLM-EROTIC_MOVIES,26,31,0,413163,100%
1134,MLM-AUTOMOTIVE_BED_COVERS,41,56,0,413163,100%
1135,MLM-AUTOMOTIVE_INTERIOR_DOOR_HANDLES,104,121,0,413163,100%
1136,MLM-POKER_CHIPS,19,25,0,413163,100%
1137,MLM-YERBA_MATE,28,56,0,413163,100%
1139,MLM-PET_COLLARS,92,101,0,413163,100%
1140,MLM-MOTORCYCLE_AIR_FILTERS,33,36,0,413163,100%
1141,MLM-VIDEO_PLAYER_REMOTE_CONTROLS,9,9,0,413163,100%
1144,MLM-JOKE_TOYS,22,20,0,413163,100%
1146,MLM-BICYCLE_TIRES,88,50,0,413163,100%
1147,MLM-INDUSTRIAL_FOOD_PROCESSORS,1,0,0,413163,100%
1149,MLM-DESKTOP_COMPUTER_CASES,23,29,0,413163,100%
1150,MLM-BIRD_CAGES,27,25,0,413163,100%
1151,MLM-FALSE_CEILINGS,1,2,0,413163,100%
1152,MLM-ACCORDIONS,105,130,0,413163,100%
1153,MLM-TOY_DRUMS,22,23,0,413163,100%
1155,MLM-SHOWER_CURTAINS,57,95,0,413163,100%
1158,MLM-SWIMMING_FINS,15,8,0,413163,100%
1159,MLM-KITCHEN_BOWLS,15,14,0,413163,100%
1160,MLM-MOTORCYCLE_FAIRINGS,24,18,0,413163,100%
1161,MLM-TOY_TRAINS,58,91,0,413163,100%
1162,MLM-SOIL_THERMOMETERS,3,6,0,413163,100%
1163,MLM-FOOTBALL_KITS,90,174,0,413163,100%
1164,MLM-GYMNASTIC_AND_PILATES_HOOPS,9,8,0,413163,100%
1168,MLM-AUTOMOTIVE_ENGINE_CYLINDER_HEADS,19,15,0,413163,100%
1169,MLM-TRAILERS,56,46,0,413163,100%
1171,MLM-FISHING_HOOKS,19,24,0,413163,100%
1172,MLM-FLOORS_WALLS_AND_APERTURES,69,85,0,413163,100%
1173,MLM-ALTERNATIVE_THERAPY_EQUIPMENT,78,74,0,413163,100%
1174,MLM-ELECTRONIC_DRUMS,27,20,0,413163,100%
1175,MLM-FISHES,153,205,0,413163,100%
1176,MLM-HIKING_BOOTS,12,22,0,413163,100%
1177,MLM-WELDING_BLOWTORCHES,26,52,0,413163,100%
1178,MLM-TRAMPOLINE_SPRINGS,10,9,0,413163,100%
1179,MLM-BRAKE_MASTER_CYLINDERS,24,41,0,413163,100%
1180,MLM-IRRIGATION_SPRINKLERS,48,54,0,413163,100%
1181,MLM-OUTER_TIE_ROD_ENDS,23,34,0,413163,100%
1184,MLM-TV_STORAGE_UNITS,165,327,0,413163,100%
1185,MLM-WASHING_AND_DRYER_MACHINE_COVERS,7,11,0,413163,100%
1186,MLM-WATER_TANKS,39,43,0,413163,100%
1187,MLM-SPORTS_DRINKS,11,24,0,413163,100%
1188,MLM-AUTOMOTIVE_RADIATOR_SUPPORTS,46,57,0,413163,100%
